date,views,article,trend_id
2021-01-01,24535,Digital camera,digital_cameras
2021-02-01,25308,Digital camera,digital_cameras
2021-03-01,27077,Digital camera,digital_cameras
2021-04-01,23590,Digital camera,digital_cameras
2021-05-01,21860,Digital camera,digital_cameras
2021-06-01,21140,Digital camera,digital_cameras
2021-07-01,20540,Digital camera,digital_cameras
2021-08-01,20419,Digital camera,digital_cameras
2021-09-01,22551,Digital camera,digital_cameras
2021-10-01,23035,Digital camera,digital_cameras
2021-11-01,22630,Digital camera,digital_cameras
2021-12-01,22223,Digital camera,digital_cameras
2022-01-01,23588,Digital camera,digital_cameras
2022-02-01,21495,Digital camera,digital_cameras
2022-03-01,22457,Digital camera,digital_cameras
2022-04-01,20654,Digital camera,digital_cameras
2022-05-01,19728,Digital camera,digital_cameras
2022-06-01,18633,Digital camera,digital_cameras
2022-07-01,17180,Digital camera,digital_cameras
2022-08-01,18231,Digital camera,digital_cameras
2022-09-01,20385,Digital camera,digital_cameras
2022-10-01,24304,Digital camera,digital_cameras
2022-11-01,21988,Digital camera,digital_cameras
2022-12-01,17435,Digital camera,digital_cameras
2023-01-01,18994,Digital camera,digital_cameras
2023-02-01,18042,Digital camera,digital_cameras
2023-03-01,21223,Digital camera,digital_cameras
2023-04-01,16513,Digital camera,digital_cameras
2023-05-01,20207,Digital camera,digital_cameras
2023-06-01,16874,Digital camera,digital_cameras
2023-07-01,17504,Digital camera,digital_cameras
2023-08-01,17858,Digital camera,digital_cameras
2023-09-01,18473,Digital camera,digital_cameras
2023-10-01,18981,Digital camera,digital_cameras
2023-11-01,19085,Digital camera,digital_cameras
2023-12-01,17251,Digital camera,digital_cameras
2024-01-01,19180,Digital camera,digital_cameras
2024-02-01,17631,Digital camera,digital_cameras
2024-03-01,18503,Digital camera,digital_cameras
2024-04-01,17398,Digital camera,digital_cameras
2024-05-01,18407,Digital camera,digital_cameras
2024-06-01,13528,Digital camera,digital_cameras
2024-07-01,15569,Digital camera,digital_cameras
2024-08-01,13739,Digital camera,digital_cameras
2024-09-01,14580,Digital camera,digital_cameras
2024-10-01,14491,Digital camera,digital_cameras
2024-11-01,13619,Digital camera,digital_cameras
2024-12-01,13614,Digital camera,digital_cameras
2025-01-01,13885,Digital camera,digital_cameras
2025-02-01,11584,Digital camera,digital_cameras
2025-03-01,15064,Digital camera,digital_cameras
2025-04-01,11434,Digital camera,digital_cameras
2025-05-01,11355,Digital camera,digital_cameras
2025-06-01,10516,Digital camera,digital_cameras
2025-07-01,11088,Digital camera,digital_cameras
2025-08-01,12277,Digital camera,digital_cameras
2025-09-01,11744,Digital camera,digital_cameras
2025-10-01,11411,Digital camera,digital_cameras
2025-11-01,10850,Digital camera,digital_cameras
2025-12-01,10385,Digital camera,digital_cameras
2026-01-01,10119,Digital camera,digital_cameras
2026-02-01,9383,Digital camera,digital_cameras
2026-03-01,9588,Digital camera,digital_cameras
2026-04-01,9582,Digital camera,digital_cameras
2026-05-01,10129,Digital camera,digital_cameras
2026-06-01,8996,Digital camera,digital_cameras
2021-01-01,29,Jean shorts,jorts
2021-02-01,37,Jean shorts,jorts
2021-03-01,25,Jean shorts,jorts
2021-04-01,23,Jean shorts,jorts
2021-05-01,40,Jean shorts,jorts
2021-06-01,46,Jean shorts,jorts
2021-07-01,37,Jean shorts,jorts
2021-08-01,23,Jean shorts,jorts
2021-09-01,29,Jean shorts,jorts
2021-10-01,31,Jean shorts,jorts
2021-11-01,35,Jean shorts,jorts
2021-12-01,35,Jean shorts,jorts
2022-01-01,10,Jean shorts,jorts
2022-02-01,15,Jean shorts,jorts
2022-03-01,17,Jean shorts,jorts
2022-04-01,33,Jean shorts,jorts
2022-05-01,40,Jean shorts,jorts
2022-06-01,47,Jean shorts,jorts
2022-07-01,30,Jean shorts,jorts
2022-08-01,53,Jean shorts,jorts
2022-09-01,40,Jean shorts,jorts
2022-10-01,34,Jean shorts,jorts
2022-11-01,28,Jean shorts,jorts
2022-12-01,25,Jean shorts,jorts
2023-01-01,31,Jean shorts,jorts
2023-02-01,18,Jean shorts,jorts
2023-03-01,25,Jean shorts,jorts
2023-04-01,36,Jean shorts,jorts
2023-05-01,29,Jean shorts,jorts
2023-06-01,35,Jean shorts,jorts
2023-07-01,44,Jean shorts,jorts
2023-08-01,46,Jean shorts,jorts
2023-09-01,32,Jean shorts,jorts
2023-10-01,24,Jean shorts,jorts
2023-11-01,24,Jean shorts,jorts
2023-12-01,8,Jean shorts,jorts
2024-01-01,22,Jean shorts,jorts
2024-02-01,26,Jean shorts,jorts
2024-03-01,49,Jean shorts,jorts
2024-04-01,31,Jean shorts,jorts
2024-05-01,28,Jean shorts,jorts
2024-06-01,14,Jean shorts,jorts
2024-07-01,39,Jean shorts,jorts
2024-08-01,266,Jean shorts,jorts
2024-09-01,17,Jean shorts,jorts
2024-10-01,20,Jean shorts,jorts
2024-11-01,24,Jean shorts,jorts
2024-12-01,30,Jean shorts,jorts
2025-01-01,37,Jean shorts,jorts
2025-02-01,42,Jean shorts,jorts
2025-03-01,53,Jean shorts,jorts
2025-04-01,69,Jean shorts,jorts
2025-05-01,161,Jean shorts,jorts
2025-06-01,99,Jean shorts,jorts
2025-07-01,61,Jean shorts,jorts
2025-08-01,38,Jean shorts,jorts
2025-09-01,32,Jean shorts,jorts
2025-10-01,32,Jean shorts,jorts
2025-11-01,19,Jean shorts,jorts
2025-12-01,17,Jean shorts,jorts
2026-01-01,20,Jean shorts,jorts
2026-02-01,17,Jean shorts,jorts
2026-03-01,58,Jean shorts,jorts
2026-04-01,40,Jean shorts,jorts
2026-05-01,164,Jean shorts,jorts
2026-06-01,65,Jean shorts,jorts
